,,,
,N° capteur,N° place,PORT
201,000201,23-02,LEUCATE
202,000202,N25,MENTON VIEUX PORT
203,000203,P50,MENTON VIEUX PORT
204,000204,P52,MENTON VIEUX PORT
205,000205,P54,MENTON VIEUX PORT
206,000206,P56,MENTON VIEUX PORT
207,000207,P58,MENTON VIEUX PORT
208,000208,P60,MENTON VIEUX PORT
209,000209,P62,MENTON VIEUX PORT
210,000210,23-10,LEUCATE
211,000211,23-12,LEUCATE
212,000212,P68,MENTON VIEUX PORT
213,000213,23-08,LEUCATE
214,000214,P72,MENTON VIEUX PORT
215,000215,P76,MENTON VIEUX PORT
216,000216,P78,MENTON VIEUX PORT
217,000217,23-14,LEUCATE
218,000218,N21,MENTON VIEUX PORT
219,000219,P74,MENTON VIEUX PORT
220,000220,N19,MENTON VIEUX PORT
221,000221,N22,MENTON VIEUX PORT
222,000222,N23,MENTON VIEUX PORT
223,000223,N24,MENTON VIEUX PORT
224,000224,N26,MENTON VIEUX PORT
225,000225,N28,MENTON VIEUX PORT
226,000226,N27,MENTON VIEUX PORT
227,000227,Y67,MENTON VIEUX PORT
228,000228,Y66,MENTON VIEUX PORT
229,000229,Y65,MENTON VIEUX PORT
230,000230,Y64,MENTON VIEUX PORT
231,000231,Y63,MENTON VIEUX PORT
232,000232,Y61,MENTON VIEUX PORT
233,000233,Y62,MENTON VIEUX PORT
234,000234,Y60,MENTON VIEUX PORT
235,000235,23-16,LEUCATE
236,000236,Y58,MENTON VIEUX PORT
237,000237,Y57,MENTON VIEUX PORT
238,000238,Y56,MENTON VIEUX PORT
239,000239,Y55,MENTON VIEUX PORT
240,000240,Y53,MENTON VIEUX PORT
241,000241,Y52,MENTON VIEUX PORT
242,000242,Y51,MENTON VIEUX PORT
243,000243,Y50,MENTON VIEUX PORT
244,000244,Y49,MENTON VIEUX PORT
245,000245,Y47,MENTON VIEUX PORT
246,000246,Y48,MENTON VIEUX PORT
247,000247,Y46,MENTON VIEUX PORT
248,000248,Y45,MENTON VIEUX PORT
249,000249,Y41,MENTON VIEUX PORT
250,000250,Y44,MENTON VIEUX PORT
251,000251,Y43,MENTON VIEUX PORT
252,000252,Y42,MENTON VIEUX PORT
253,000253,Y54,MENTON VIEUX PORT
254,000254,Y40,MENTON VIEUX PORT
255,000255,Y39,MENTON VIEUX PORT
256,000256,P46,MENTON VIEUX PORT
257,000257,P42,MENTON VIEUX PORT
258,000258,Y37,MENTON VIEUX PORT
259,000259,Y38,MENTON VIEUX PORT
260,000260,P40,MENTON VIEUX PORT
261,000261,P44,MENTON VIEUX PORT
262,000262,N29,MENTON VIEUX PORT
263,000263,23-18,LEUCATE
264,000264,N30,MENTON VIEUX PORT
265,000265,N31,MENTON VIEUX PORT
266,000266,N20,MENTON VIEUX PORT
267,000267,N32,MENTON VIEUX PORT
268,000268,N33,MENTON VIEUX PORT
269,000269,N34,MENTON VIEUX PORT
270,000270,N35,MENTON VIEUX PORT
271,000271,N36,MENTON VIEUX PORT
272,,,
273,000273,N37,MENTON VIEUX PORT
274,000274,N38,MENTON VIEUX PORT
275,000275,N39,MENTON VIEUX PORT
276,000276,N40,MENTON VIEUX PORT
277,000277,N41,MENTON VIEUX PORT
278,000278,N42,MENTON VIEUX PORT
279,000279,N43,MENTON VIEUX PORT
280,000280,N44,MENTON VIEUX PORT
281,000281,N45,MENTON VIEUX PORT
282,000282,N46,MENTON VIEUX PORT
283,000283,N47,MENTON VIEUX PORT
284,000284,N48,MENTON VIEUX PORT
285,000285,N49,MENTON VIEUX PORT
286,000286,N51,MENTON VIEUX PORT
287,000287,N50,MENTON VIEUX PORT
288,000288,N52,MENTON VIEUX PORT
289,000289,N53,MENTON VIEUX PORT
290,000290,N54,MENTON VIEUX PORT
291,000291,N55,MENTON VIEUX PORT
292,000292,N56,MENTON VIEUX PORT
293,000293,N57,MENTON VIEUX PORT
294,000294,N58,MENTON VIEUX PORT
295,000295,N59,MENTON VIEUX PORT
296,000296,23-20,LEUCATE
297,000297,N61,MENTON VIEUX PORT
298,000298,N62,MENTON VIEUX PORT
299,000299,N63,MENTON VIEUX PORT
300,000300,N64,MENTON VIEUX PORT
301,000301,N65,MENTON VIEUX PORT
302,000302,23-22,LEUCATE
303,000303,P80,MENTON VIEUX PORT
304,000304,P66,MENTON VIEUX PORT
305,000305,P64,MENTON VIEUX PORT
306,000306,23-24,LEUCATE
307,000307,P70,MENTON VIEUX PORT
308,000308,Stock Menton,MENTON VIEUX PORT
309,000309,N66,MENTON
310,000310,23-26,LEUCATE
311,000311,Y59,MENTON
312,000312,N67,MENTON
313,000313,Stock Menton,MENTON VIEUX PORT
314,000314,23-06,LEUCATE
315,000315,P48,MENTON
316,000316,Stock Menton,MENTON VIEUX PORT
317,000317,Stock Menton,MENTON VIEUX PORT
318,000318,23-28,LEUCATE
319,000319,N60,MENTON
320,000320,Stock Menton,MENTON VIEUX PORT
321,000321,23-30,LEUCATE
322,000322,23-32,LEUCATE
323,000323,23-34,LEUCATE
324,000324,23-36,LEUCATE
325,000325,23-38,LEUCATE
326,000326,23-40,LEUCATE
327,000327,23-42,LEUCATE
328,000328,23-44,LEUCATE
329,000329,23-46,LEUCATE
330,000330,23-48,LEUCATE
331,000331,23-50,LEUCATE
332,000332,23-52,LEUCATE
333,000333,23-62,LEUCATE
334,000334,23-64,LEUCATE
335,000335,23-66,LEUCATE
336,000336,23-68,LEUCATE
337,000337,23-54,LEUCATE
338,000338,23-56,LEUCATE
339,000339,23-58,LEUCATE
340,000340,23-60,LEUCATE
341,000341,23-55,LEUCATE
342,000342,23-77,LEUCATE
343,000343,23-65,LEUCATE
344,000344,23-75,LEUCATE
345,000345,23-81,LEUCATE
346,000346,23-69,LEUCATE
347,000347,23-29,LEUCATE
348,000348,23-71,LEUCATE
