,,,,,,,,,
id,N° capteur,N° place,PORT,Check Marion,,Check JL,,,
201,201,23-02,LEUCATE,,,,,,
202,202,N-25,MENTON VIEUX PORT,,,,,,
203,203,P50,MENTON VIEUX PORT,,,,,,
204,204,P52,MENTON VIEUX PORT,,,,,,
205,205,P54,MENTON VIEUX PORT,,,,,,
206,206,P56,MENTON VIEUX PORT,,,,,,
207,207,P58,MENTON VIEUX PORT,,,,,,
208,208,P60,MENTON VIEUX PORT,,,,,,
209,209,P62,MENTON VIEUX PORT,,,,,,
210,210,23-10,LEUCATE,,,,,,
211,211,23-12,LEUCATE,,,,,,
212,212,P68,MENTON VIEUX PORT,,,,,,
213,213,23-08,LEUCATE,,,,,,
214,214,P72,MENTON VIEUX PORT,,,,,,
215,215,P76,MENTON VIEUX PORT,,,,,,
216,216,P78,MENTON VIEUX PORT,,,,,,
217,217,23-14,LEUCATE,,,,,,
218,218,N21,MENTON VIEUX PORT,,,,,,
219,219,P74,MENTON VIEUX PORT,,,,,,
220,220,N19,MENTON VIEUX PORT,,,,,,
221,221,N22,MENTON VIEUX PORT,,,,,,
222,222,N23,MENTON VIEUX PORT,,,,,,
223,223,N24,MENTON VIEUX PORT,,,,,,
224,224,N26,MENTON VIEUX PORT,,,,,,
225,225,N28,MENTON VIEUX PORT,,,,,,
226,226,N27,MENTON VIEUX PORT,,,,,,
227,227,Y67,MENTON VIEUX PORT,,,,,,
228,228,Y66,MENTON VIEUX PORT,,,,,,
229,229,Y65,MENTON VIEUX PORT,,,,,,
230,230,Y64,MENTON VIEUX PORT,,,,,,
231,231,Y63,MENTON VIEUX PORT,,,,,,
232,232,Y61,MENTON VIEUX PORT,,,,,,
233,233,Y62,MENTON VIEUX PORT,,,,,,
234,234,Y60,MENTON VIEUX PORT,,,,,,
235,235,23-16,LEUCATE,,,,,,
236,236,Y58,MENTON VIEUX PORT,,,,,,
237,237,Y57,MENTON VIEUX PORT,,,,,,
238,238,Y56,MENTON VIEUX PORT,,,,,,
239,239,Y55,MENTON VIEUX PORT,,,,,,
240,240,Y53,MENTON VIEUX PORT,,,,,,
241,241,Y52,MENTON VIEUX PORT,,,,,,
242,242,Y51,MENTON VIEUX PORT,,,,,,
243,243,Y50,MENTON VIEUX PORT,,,,,,
244,244,Y49,MENTON VIEUX PORT,,,,,,
245,245,Y47,MENTON VIEUX PORT,,,,,,
246,246,Y48,MENTON VIEUX PORT,,,,,,
247,247,Y46,MENTON VIEUX PORT,,,,,,
248,248,Y45,MENTON VIEUX PORT,,,,,,
249,249,Y41,MENTON VIEUX PORT,,,,,,
250,250,Y44,MENTON VIEUX PORT,,,,,,
251,251,Y43,MENTON VIEUX PORT,,,,,,
252,252,Y42,MENTON VIEUX PORT,,,,,,
253,253,Y54,MENTON VIEUX PORT,,,,,,
254,254,Y40,MENTON VIEUX PORT,,,,,,
255,255,Y39,MENTON VIEUX PORT,,,,,,
256,256,P46,MENTON VIEUX PORT,,,,,,
257,257,P42,MENTON VIEUX PORT,,,,,,
258,258,Y37,MENTON VIEUX PORT,,,,,,
259,259,Y38,MENTON VIEUX PORT,,,,,,
260,260,P40,MENTON VIEUX PORT,,,,,,
261,261,P44,MENTON VIEUX PORT,,,,,,
262,262,N29,MENTON VIEUX PORT,,,,,,
263,263,23-18,LEUCATE,,,,,,
264,264,N30,MENTON VIEUX PORT,,,,,,
265,265,N31,MENTON VIEUX PORT,,,,,,
266,266,N20,MENTON VIEUX PORT,,,,,,
267,267,N32,MENTON VIEUX PORT,,,,,,
268,268,N33,MENTON VIEUX PORT,,,,,,
269,269,N34,MENTON VIEUX PORT,,,,,,
270,270,N35,MENTON VIEUX PORT,,,,,,
